player_name,player_name_full,team,points,games,avg,ff_id,season,observed_at,source_url
Valjent,Martin Valjent,Mallorca,154,37,4.160,6634,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Dani Rodríguez,Dani Rodríguez,Mallorca,3,2,1.500,6651,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Asano,Takuma Asano,Mallorca,43,20,2.150,6704,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Antonio,Antonio Sánchez,Mallorca,59,30,1.970,7291,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Morey,Mateu Morey,Mallorca,33,18,1.830,7413,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Muriqi,Vedat Muriqi,Mallorca,234,37,6.320,8134,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Leo Román,Leo Román,Mallorca,165,33,5.000,9405,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Bergstrom,Lucas Bergstrom,Mallorca,36,5,7.200,9602,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Llabrés,Javi Llabrés,Mallorca,27,16,1.690,9771,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
Pablo Torre,Pablo Torre,Mallorca,146,35,4.170,10205,2025-26,2026-08-20T23:17Z,https://www.futbolfantasy.com/analytics/laliga-fantasy/puntos
